,E[keV],sigma[barns/atom]
0,1.0,2050000.0
1,1.072,1773000.0
2,1.149,1533000.0
3,1.149,1599000.0
4,1.5,888800.0
5,2.0,453500.0
6,3.0,168200.0
7,4.0,81320.0
8,4.782,51390.0
9,4.782,150200.0
10,5.0,138300.0
11,5.104,130700.0
12,5.104,177300.0
13,5.275,163800.0
14,5.453,151400.0
15,5.453,174800.0
16,6.0,138000.0
17,8.0,65350.0
18,10.0,36230.0
19,15.0,12100.0
20,20.0,5473.0
21,30.0,1761.0
22,34.56,1181.0
23,34.56,7073.0
24,40.0,4820.0
25,50.0,2675.0
26,60.0,1625.0
27,80.0,733.1
28,100.0,391.0
29,150.0,123.2
30,200.0,54.29
31,300.0,17.46
32,400.0,8.064
33,500.0,4.553
34,600.0,2.918
35,800.0,1.513
